Survey Date,trigger_transaction_description,payment_type,trigger_system_name,client_region,price_plan_name,Customer Verbatiam,F_NPS_Score,TNPS,F_EFF_Score,F_FTF_Question,Voice / EServices,Call Type,Cust Age Bucket
11-08-2023 00:00,Credit Note,TopUp,TobiAssist_CC_C3D,Western,RED 600MB 50min - TopUp,Lady was helpful and quick to assist,10,Promoter,10,"Yes, straight away",Voice,Credit Note / Billing Enquiry,18 - 24
18-08-2023 00:00,Modify,Postpaid,Siebel_01,Limpopo,"RED 1,2GB 100min","Had to contact 135 as a matter of urgency and ""Due to high call volumes"" I could not get through. I am still awaiting the reason and the authorization as to who was responsible for the initial request.",7,Passive,3,Too early to tell,Voice,Modify / Orders,55 - 64
14-08-2023 00:00,Airtime Advance,TopUp,TobiAssist_CC_C3D,Kwazulu Natal,RED Flexi 260,"There was no option for me to speak to a consultant, I had to select other options before was transferred to the consultant relevant",8,Passive,4,"Yes, but I had to contact Vodacom more than once",Voice,Airtime Advance / Product,35 - 44
15-08-2023 00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Mpumalanga,"Smart Top Up Data 1,2GB",1,10,Promoter,1,"Yes, straight away",Voice,Promise to Pay / Billing Enquiry,44 - 54
17-08-2023 00:00,Modify,TopUp,Siebel_01,Mpumalanga,Data - Top Up,Not good at all,10,Promoter,0,Too early to tell,Voice,Modify / Orders,35 - 44
15-08-2023 00:00,Airtime Advance,TopUp,TobiAssist_CC_C3D,Southern Gauteng,"RED 2,4GB 200min TopUp",Good service I received from the lady,10,Promoter,10,"Yes, straight away",Voice,Airtime Advance / Product,44 - 54
08-08-2023 00:00,Contact: Created,TopUp,Siebel_01,Limpopo,RED Flexi 75,Okay,10,Promoter,10,"Yes, but I had to contact Vodacom more than once",Voice,Contact: Created / Account,25 - 34
10-08-2023 00:00,Modify,TopUp,Siebel_01,Northern Gauteng,RED 600MB 50min - TopUp,"Always when i phone Vodacom,,i phone once and they always come with the solutions to solve my problems.Like today..my problem was solved on the spot.Wow..the staff always friendly and welcoming.They must keep up the good job",10,Promoter,10,"Yes, straight away",Voice,Modify / Orders,44 - 54
01-08-2023 00:00,Modify,TopUp,Siebel_01,Limpopo,Red Flexi Zero,They helped me very nice,10,Promoter,10,"Yes, straight away",Voice,Modify / Orders,44 - 54
03-08-2023 00:00,Modify,TopUp,Siebel_01,Northern Gauteng,Data - Top Up,"The guy was straight forward with me he exactly knows what he's doing, although he was quick. He was more than open for me, he actually made things a lot easier. But we'll see how it works",10,Promoter,10,Too early to tell,Voice,Modify / Orders,18 - 24
15-08-2023 00:00,Modify,TopUp,Siebel_01,Northern Gauteng,RED Flexi 900,Zinzi was keeping me updated through the process and was very helpfull to resolve my request,10,Promoter,10,"Yes, straight away",E-Service,Modify / Orders,44 - 54
16-08-2023 00:00,Invoice and Statement,TopUp,TobiAssist_CC_C3D,Eastern,RED Flexi 395,Quick and sufficient service received,10,Promoter,10,"Yes, straight away",E-Service,Invoice and Statement / Billing Enquiry,35 - 44
10-08-2023 00:00,#!TransNameJourney!#,Postpaid,TobiAssist_CC_C3D,Eastern,RED 6GB 600min,Because you just decide there is now a price increase on this client's account and we vodacome will without notification just put the price up because we can and if the customer can afford it or not she must ma just couch up and pay,0,Detractors,0,No,E-Service,#!TransNameJourney!# / #!transTypeJourney!#,44 - 54
08-08-2023 00:00,Modify,Postpaid,Siebel_01,Southern Gauteng,RED 600MB 50min,Because it's mke my life easier,10,Promoter,8,"Yes, straight away",Voice,Modify / Orders,25 - 34
14-08-2023 00:00,Modify,TopUp,Siebel_01,Northern Gauteng,"RED 1,2GB 100min TopUp","The consultant was listening, she helped fast, she also treated me like the customer... thanks",10,Promoter,10,"Yes, straight away",Voice,Modify / Orders,35 - 44
14-08-2023 00:00,Credit Note,TopUp,TobiAssist_CC_C3D,Kwazulu Natal,Data - Top Up,"Network failure
Deduction errors",8,Passive,10,"Yes, but I had to contact Vodacom more than once",Voice,Credit Note / Billing Enquiry,35 - 44
14-08-2023 00:00,Modify,TopUp,Siebel_01,Western,RED 600MB 50min - TopUp,Good service,9,Promoter,9,"Yes, straight away",Voice,Modify / Orders,44 - 54
01-08-2023 00:00,Credit Note,TopUp,TobiAssist_CC_C3D,,RED Flexi 140,I get a good service,10,Promoter,10,"Yes, straight away",Voice,Credit Note / Billing Enquiry,25 - 34
08-08-2023 00:00,Upgrade Order: Enquiry,TopUp,Siebel_01,Southern Gauteng,"RED 2,4GB 200min TopUp",Vodacom is very good,10,Promoter,10,"Yes, straight away",E-Service,Upgrade Order: Enquiry / Account,44 - 54
10-08-2023 00:00,Modify,Postpaid,Siebel_01,Mpumalanga,RED VIP 20GB Unlimited,Excellent service,10,Promoter,10,"Yes, straight away",E-Service,Modify / Orders,44 - 54
10-08-2023 00:00,Modify,TopUp,Siebel_01,Eastern,"RED 1,2GB 100min TopUp",No,10,Promoter,10,"Yes, straight away",E-Service,Modify / Orders,65+
02-08-2023 00:00,Bonus Bundle,TopUp,TobiAssist_CC_C3D,Kwazulu Natal,RED Flexi 260,The lady was very helpful and clearly explained what I needed to know and listened to me too,8,Passive,10,"Yes, straight away",E-Service,Bonus Bundle / Product,55 - 64
02-08-2023 00:00,Modify,TopUp,Siebel_01,Southern Gauteng,RED 600MB 50min - TopUp,The person who helped me was brilliant,10,Promoter,10,"Yes, straight away",E-Service,Modify / Orders,44 - 54
17-08-2023 00:00,New Order: Service Request Created,TopUp,Siebel_01,Limpopo,Data - Top Up,I'm very happy that they finally helped me my query has been escalated to Rewards for investigation.,10,Promoter,10,Too early to tell,E-Service,New Order: Service Request Created / Account,25 - 34
17-08-2023 00:00,Wasp Service - Opt Out,TopUp,TobiAssist_CC_C3D,Limpopo,"RED 1,2GB 100min TopUp",Good service,8,Passive,9,"Yes, straight away",Voice,Wasp Service - Opt Out / Billing Enquiry,35 - 44
17-08-2023 00:00,SIM Swap Using Starter Pack,Prepaid,ICAP_Prepaid_CallCentre,Limpopo,Prepaid150c,i did have a good service and thanks very much,10,Promoter,10,"Yes, straight away",Voice,SIM Swap Using Starter Pack / SIM Swap,NA
17-08-2023 00:00,Modify,TopUp,Siebel_01,Central,Home Internet Price Plan TopUp,Good service.,10,Promoter,10,"Yes, straight away",Voice,Modify / Orders,35 - 44
08-08-2023 00:00,Modify,TopUp,Siebel_01,Eastern,"RED 1,2GB 100min TopUp",My account not happy,4,Detractors,4,Too early to tell,E-Service,Modify / Orders,35 - 44
14-08-2023 00:00,Modify VAS,TopUp,TobiAssist_CC_C3D,Central,Data - Top Up,You take time to respond but when you talk to a customer you are calm and show respect,9,Promoter,4,"Yes, but I had to contact Vodacom more than once",E-Service,Modify VAS / Billing Enquiry,18 - 24
04-08-2023 00:00,Promise to Pay,Postpaid,TobiAssist_CC_C3D,Central,RED VIP 20GB Unlimited,Yes ,10,Promoter,10,"Yes, straight away",E-Service,Promise to Pay / Billing Enquiry,44 - 54
03-08-2023 00:00,Modify,TopUp,Siebel_01,Kwazulu Natal,Data - Top Up,I still have unresolved issues,9,Promoter,9,"Yes, but I had to contact Vodacom more than once",Voice,Modify / Orders,25 - 34
02-08-2023 00:00,Balance: Service Request Created,TopUp,Siebel_01,Eastern,"RED 1,2GB 200min TopUp",I AM HAPPY WITH VODACOM BEEN WITH VODACOM FIR ABOUT 25 YEZRS . JUST WISH VODACOM WILL REWARD ME FOR BEING A LOYAL CUSTOMER.,10,Promoter,10,"Yes, straight away",E-Service,Balance: Service Request Created / Account,65+
02-08-2023 00:00,Balance: Service Request Created,TopUp,Siebel_01,Northern Gauteng,Data - Top Up,She was able to help me with all my questions,10,Promoter,10,"Yes, straight away",E-Service,Balance: Service Request Created / Account,35 - 44
14-08-2023 00:00,Networks,TopUp,TobiAssist_CC_C3D,Southern Gauteng,RED 600MB 50min - TopUp,"Noluthando was an absolute star, super quick to reply and action my request.",10,Promoter,10,Too early to tell,E-Service,Networks / Product,25 - 34
03-08-2023 00:00,Modify VAS,TopUp,TobiAssist_CC_C3D,Central,RED 600MB 50min - TopUp,Have been struggling thanks to Noluthando for helping me,10,Promoter,10,"Yes, straight away",E-Service,Modify VAS / Billing Enquiry,25 - 34
03-08-2023 00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Northern Gauteng,Top Up Data,Thank you Noluthando was very helpful and friendly,10,Promoter,10,"Yes, straight away",E-Service,Promise to Pay / Billing Enquiry,65+
08-08-2023 00:00,Modify,TopUp,Siebel_01,Southern Gauteng,RED Flexi 140,Efficient service. Friendly assistance,8,Passive,10,"Yes, straight away",E-Service,Modify / Orders,55 - 64
18-08-2023 00:00,Credit Note,TopUp,TobiAssist_CC_C3D,Kwazulu Natal,RED Flexi 260,Good service,10,Promoter,10,"Yes, straight away",Voice,Credit Note / Billing Enquiry,44 - 54
16-08-2023 00:00,Modify VAS,TopUp,TobiAssist_CC_C3D,Southern Gauteng,Data - Top Up,Loved how Siyanda resolves queries and very professional too,10,Promoter,10,"Yes, straight away",Voice,Modify VAS / Billing Enquiry,35 - 44
18-08-2023 00:00,Bonus Bundle,TopUp,TobiAssist_CC_C3D,Southern Gauteng,RED Flexi 260,Very friendly & co-operative agent who listened to me immediately,10,Promoter,10,"Yes, straight away",Voice,Bonus Bundle / Product,55 - 64
16-08-2023 00:00,Modify,TopUp,Siebel_01,Northern Gauteng,RED Flexi 260,I received good service,9,Promoter,9,"Yes, straight away",Voice,Modify / Orders,44 - 54
19-08-2023 00:00,Modify,TopUp,Siebel_01,Northern Gauteng,RED Flexi 260,I can't get through the process on the app to buy data !!!!!,0,Detractors,0,No,Voice,Modify / Orders,65+
16-08-2023 00:00,Modify,TopUp,Siebel_01,Central,RED Flexi 140,The second lady helped me nicely,10,Promoter,8,"Yes, but I had to contact Vodacom more than once",Voice,Modify / Orders,65+
02-08-2023 00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Northern Gauteng,RED Flexi 200,10,10,Promoter,1,"Yes, straight away",Voice,Promise to Pay / Billing Enquiry,44 - 54
17-08-2023 00:00,Modify,TopUp,Siebel_01,Kwazulu Natal,RED Flexi 600,The courtesy I got,10,Promoter,10,Too early to tell,Voice,Modify / Orders,25 - 34
16-08-2023 00:00,#!TransNameJourney!#,Postpaid,TobiAssist_CC_C3D,Kwazulu Natal,"RED 2,4GB 400min",Very helpful staff,10,Promoter,10,"Yes, straight away",E-Service,#!TransNameJourney!# / #!transTypeJourney!#,35 - 44
04-08-2023 00:00,Modify,Postpaid,Siebel_01,Southern Gauteng,RED 12GB 800min,Matter resolved but it took 3 calls and lots of time But satisfied now,10,Promoter,8,"Yes, but I had to contact Vodacom more than once",E-Service,Modify / Orders,65+
01-08-2023 00:00,Modify,TopUp,Siebel_01,Central,Data - Top Up,"The consultant was very polite, good and knows what she is doing.",10,Promoter,10,"Yes, straight away",E-Service,Modify / Orders,NA
03-08-2023 00:00,Modify,Postpaid,Siebel_01,Northern Gauteng,SMART XS+,My request was resolved quickly and efficiently without any issues. Agent knew immediately what to do and was able to help.,10,Promoter,10,"Yes, straight away",E-Service,Modify / Orders,35 - 44
02-08-2023 00:00,Credit Note,TopUp,TobiAssist_CC_C3D,Kwazulu Natal,"RED 1,2GB 100min TopUp",I got the best service,10,Promoter,10,"Yes, straight away",E-Service,Credit Note / Billing Enquiry,25 - 34
03-08-2023 00:00,Invoice and Statement,TopUp,TobiAssist_CC_C3D,Western,RED Flexi 140,10,10,Promoter,5,Too early to tell,E-Service,Invoice and Statement / Billing Enquiry,65+
16-08-2023 00:00,Balance: Enquiry,Postpaid,Siebel_01,Southern Gauteng,RED VIP 20GB Unlimited,Had to be transferred to the accounts department and they had to transfer me back to customer care line and the line cut before speaking to an agent,9,Promoter,8,"Yes, but I had to contact Vodacom more than once",Voice,Balance: Enquiry / Account,44 - 54
16-08-2023 00:00,Bank Details: Updated,Prepaid,Siebel_01,Limpopo,Vodacom 4Less Within Cell Broadcast:V4L,"Not happy with the outcome, the service was poor.",1,Detractors,0,No,Voice,Bank Details: Updated / Account,NA
17-08-2023 00:00,Bonus Bundle,TopUp,TobiAssist_CC_C3D,Western,"RED 1,2GB 100min TopUp",Very friendly and helpful,10,Promoter,10,"Yes, straight away",Voice,Bonus Bundle / Product,25 - 34
14-08-2023 00:00,Modify,TopUp,Siebel_01,Eastern,RED 600MB 50min - TopUp,It took a while for me to get to speak to a consultant. The bot is cool but there should be an option to go straight to the consultant. In my opinion anyway.,10,Promoter,8,"Yes, straight away",Voice,Modify / Orders,25 - 34
18-08-2023 00:00,Networks,TopUp,TobiAssist_CC_C3D,Central,RED 6GB 200min TopUp,Language barrier,10,Promoter,8,"Yes, straight away",Voice,Networks / Product,55 - 64
01-08-2023 00:00,Balance: Enquiry,TopUp,Siebel_01,Eastern,RED Flexi 200,Still waiting for the response hence I cant rate the highest score,10,Promoter,7,Too early to tell,Voice,Balance: Enquiry / Account,25 - 34
02-08-2023 00:00,Invoice and Statement,TopUp,TobiAssist_CC_C3D,Northern Gauteng,Data - Top Up,"It was close to seamless, but Tobi could not pick up that the number that I was chasing from was on fact the main number on the Vodacom account, therefore i still had to speak to a human.  Human was finely and efficient too, Thank you",8,Passive,9,"Yes, straight away",Voice,Invoice and Statement / Billing Enquiry,44 - 54
01-08-2023 00:00,Balance: Enquiry,TopUp,Siebel_01,Southern Gauteng,RED 6GB 200min TopUp,Suspected fraudulent,10,Promoter,10,"Yes, straight away",Voice,Balance: Enquiry / Account,44 - 54
01-08-2023 00:00,Modify,TopUp,Siebel_01,Southern Gauteng,RED Flexi 140,Incompetence,0,Detractors,0,No,Voice,Modify / Orders,55 - 64
02-08-2023 00:00,Upgrade Order: Enquiry,TopUp,Siebel_01,Western,Data - Top Up,Lady was knowledgeable and helpful and patient,10,Promoter,10,"Yes, straight away",E-Service,Upgrade Order: Enquiry / Account,35 - 44
03-08-2023 00:00,Promise to Pay,Postpaid,TobiAssist_CC_C3D,Southern Gauteng,RED VIP 20GB Unlimited,Iff been a contract customer for over 20 years and vodocam aways assit me when I need help,10,Promoter,10,"Yes, straight away",E-Service,Promise to Pay / Billing Enquiry,35 - 44
07-08-2023 00:00,Missing Airtime,TopUp,TobiAssist_CC_C3D,Western,RED Flexi 260,"Very friendly person the other side, helpful and understanding.",9,Promoter,10,"Yes, straight away",E-Service,Missing Airtime / Billing Enquiry,55 - 64
11-08-2023 00:00,Detailed Data Usage,TopUp,TobiAssist_CC_C3D,Northern Gauteng,RED 600MB 50min - TopUp,Everything was excellent,10,Promoter,10,Too early to tell,Voice,Detailed Data Usage / Billing Enquiry,35 - 44
15-08-2023 00:00,Roaming: Activated,TopUp,Siebel_01,Southern Gauteng,"RED 3,6GB 600min TopUp",Very easy,10,Promoter,10,"Yes, straight away",Voice,Roaming: Activated / Account,44 - 54
10-08-2023 00:00,Modify,TopUp,Siebel_01,Southern Gauteng,"RED 1,2GB 100min TopUp",My problem was solved quick,10,Promoter,10,"Yes, straight away",E-Service,Modify / Orders,55 - 64
11-08-2023 00:00,Billing: Split Billing,TopUp,Siebel_01,Western,"RED 2,4GB 100min Top Up",How can a signed contract amount change,0,Detractors,0,No,E-Service,Billing: Split Billing / Account,55 - 64
11-08-2023 00:00,Balance: Enquiry,TopUp,Siebel_01,Eastern,RED 600MB 50min - TopUp,To see if I received the good service or to see if my request has been resolved immediately,10,Promoter,10,"Yes, straight away",E-Service,Balance: Enquiry / Account,18 - 24
04-08-2023 00:00,Invoice and Statement,TopUp,TobiAssist_CC_C3D,Eastern,"RED 2,4GB 200min TopUp","Excellent service by Phendula at Customer care. Easy to talk too, very friendly, understanding and helpful",10,Promoter,10,Too early to tell,E-Service,Invoice and Statement / Billing Enquiry,44 - 54
10-08-2023 00:00,Credit Note,TopUp,TobiAssist_CC_C3D,Western,RED Flexi 140,2,2,Detractors,2,"Yes, but I had to contact Vodacom more than once",E-Service,Credit Note / Billing Enquiry,35 - 44
17-08-2023 00:00,Wasp Service - Opt Out,Postpaid,TobiAssist_CC_C3D,Southern Gauteng,SMART S+,Phendula  Ncaphayi  the support consultant was very efficient polite and helpful to me.,10,Promoter,10,"Yes, straight away",E-Service,Wasp Service - Opt Out / Billing Enquiry,65+
09-08-2023 00:00,Modify,TopUp,Siebel_01,Western,"RED 1,2GB 100min TopUp",Nope,0,Detractors,0,"Yes, but I had to contact Vodacom more than once",E-Service,Modify / Orders,55 - 64
10-08-2023 00:00,Modify,Postpaid,Siebel_01,Southern Gauteng,RED VIP 20GB Unlimited,Because I'm very impressed,8,Passive,8,"Yes, straight away",E-Service,Modify / Orders,55 - 64
18-08-2023 00:00,Modify,TopUp,Siebel_01,Western,RED 600MB 50min - TopUp,"I phoned customer services. Tobi and I are not on speaking terms, I prefer humans. Eventually went on computer. Tobi again. Then offered a human. Chwayita was good, patient. Problem according to your Technical is signal related, so not resolved, now depen",8,Passive,7,Too early to tell,E-Service,Modify / Orders,65+
17-08-2023 00:00,Itemised Billing: Provided,TopUp,Siebel_01,Northern Gauteng,RED Flexi 140,"Because the person who delt with my problem this time, was friendly but still professional. Furthermore he made sure he understand my problem by asking various questions.
Lastly but not the least he helped me in Afrikaans.",8,Passive,9,Too early to tell,E-Service,Itemised Billing: Provided / Account,65+
04-08-2023 00:00,Modify,TopUp,Siebel_01,Eastern,RED Flexi 260,Service was on point,10,Promoter,8,"Yes, straight away",E-Service,Modify / Orders,25 - 34
02-08-2023 00:00,Modify,TopUp,Siebel_01,Limpopo,RED Flexi 200,Very quick and accurate service,10,Promoter,10,"Yes, straight away",E-Service,Modify / Orders,25 - 34
10-08-2023 00:00,#!TransNameJourney!#,TopUp,TobiAssist_CC_C3D,Kwazulu Natal,"RED 1,2GB 200min TopUp","The consultant was precise, efficient.",10,Promoter,10,"Yes, straight away",E-Service,#!TransNameJourney!# / #!transTypeJourney!#,65+
15-08-2023 00:00,Invoice and Statement,TopUp,TobiAssist_CC_C3D,Western,Top Up Data,No time,10,Promoter,7,"Yes, but I had to contact Vodacom more than once",E-Service,Invoice and Statement / Billing Enquiry,65+
10-08-2023 00:00,Credit Note,TopUp,TobiAssist_CC_C3D,Southern Gauteng,"RED 3,6GB 400min TopUp",The service was very good,10,Promoter,10,"Yes, straight away",E-Service,Credit Note / Billing Enquiry,44 - 54
18-08-2023 00:00,Invoice and Statement,TopUp,TobiAssist_CC_C3D,Eastern,RED Flexi 200,"- The consultant was nice and professional 
- Explained everything and i understood 
- Even helped to do changes in my profile, like email address. Now i do receive my statements",9,Promoter,8,"Yes, straight away",E-Service,Invoice and Statement / Billing Enquiry,25 - 34
10-08-2023 00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Central,Top Up Data,Yes,10,Promoter,10,"Yes, straight away",Voice,Promise to Pay / Billing Enquiry,35 - 44
07-08-2023 00:00,Credit Note,TopUp,TobiAssist_CC_C3D,Mpumalanga,RED 600MB 50min - TopUp,Everything was good,10,Promoter,10,"Yes, straight away",Voice,Credit Note / Billing Enquiry,18 - 24
10-08-2023 00:00,Networks,TopUp,TobiAssist_CC_C3D,Western,RED Flexi 260,This question is too vague and should have been included with each question,10,Promoter,5,Too early to tell,Voice,Networks / Product,55 - 64
10-08-2023 00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Southern Gauteng,Data - Top Up,Long wait for call to be answered first attendant put me on hold and never came back,5,Detractors,0,Too early to tell,Voice,Promise to Pay / Billing Enquiry,55 - 64
03-08-2023 00:00,Credit Note,TopUp,TobiAssist_CC_C3D,Mpumalanga,RED 600MB 50min - TopUp,I did get help on my first time calling due to payment issue,5,Detractors,10,"Yes, but I had to contact Vodacom more than once",Voice,Credit Note / Billing Enquiry,35 - 44
02-08-2023 00:00,Detailed Data Usage,TopUp,TobiAssist_CC_C3D,Southern Gauteng,"RED 1,2GB 100min TopUp",first I didn't check my masssegge,10,Promoter,10,"Yes, straight away",Voice,Detailed Data Usage / Billing Enquiry,44 - 54
18-08-2023 00:00,Promise to Pay,Postpaid,TobiAssist_CC_C3D,Northern Gauteng,RED 6GB 800min,Consultant very pleasant and helpful.,10,Promoter,10,"Yes, straight away",Voice,Promise to Pay / Billing Enquiry,65+
19-08-2023 00:00,Credit Note,TopUp,TobiAssist_CC_C3D,Eastern,Data - Top Up,Sibusiso was very helpful,8,Passive,8,"Yes, straight away",Voice,Credit Note / Billing Enquiry,55 - 64
01-08-2023 00:00,Credit Note,TopUp,TobiAssist_CC_C3D,Western,RED Flexi 200,Well served,10,Promoter,10,"Yes, straight away",Voice,Credit Note / Billing Enquiry,55 - 64
01-08-2023 00:00,Modify,TopUp,Siebel_01,Limpopo,Data - Top Up,Service was friendly,8,Passive,10,"Yes, straight away",E-Service,Modify / Orders,35 - 44
01-08-2023 00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Northern Gauteng,RED Flexi 200,Vodacom is the best ,10,Promoter,10,"Yes, straight away",E-Service,Promise to Pay / Billing Enquiry,44 - 54
02-08-2023 00:00,Wasp Service - Opt Out,TopUp,TobiAssist_CC_MII,Southern Gauteng,Red Flexi Zero,Okay ,9,Promoter,9,"Yes, straight away",E-Service,Wasp Service - Opt Out / Billing Enquiry,NA
01-08-2023 00:00,Bonus Bundle,Postpaid,TobiAssist_CC_C3D,Northern Gauteng,"RED 1,2GB 200min",Bad services,0,Detractors,0,No,E-Service,Bonus Bundle / Product,44 - 54
01-08-2023 00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Southern Gauteng,RED 600MB 50min - TopUp,"Good communication, good customer service and patience with customers I'm very happy with her service",10,Promoter,10,"Yes, straight away",E-Service,Promise to Pay / Billing Enquiry,35 - 44
01-08-2023 00:00,Post2Hybrid,Postpaid,Siebel_01,Southern Gauteng,"RED 1,2GB 200min","Only one problem was resolved, the Wi-Fi issue was not resolved",9,Promoter,6,"Yes, straight away",Voice,Post2Hybrid / Orders,44 - 54
18-08-2023 00:00,Bill Profile: Enquiry,TopUp,Siebel_01,Limpopo,RED Flexi 200,Because my request was resolved,10,Promoter,10,"Yes, straight away",Voice,Bill Profile: Enquiry / Account,55 - 64
17-08-2023 00:00,Modify,Postpaid,Siebel_01,Northern Gauteng,RED VIP 20GB Unlimited,"Beaula the consultant was very friendly and helpful
She kept me in the loop all the time",10,Promoter,10,"Yes, straight away",Voice,Modify / Orders,44 - 54
16-08-2023 00:00,Bill Profile: Enquiry,TopUp,Siebel_01,Southern Gauteng,Data - Top Up,Call sender friendy,10,Promoter,9,"Yes, straight away",Voice,Bill Profile: Enquiry / Account,44 - 54
18-08-2023 00:00,Modify,TopUp,Siebel_01,Kwazulu Natal,"RED 1,2GB 100min TopUp",Coz m satisfied with ur help,10,Promoter,8,"Yes, straight away",Voice,Modify / Orders,35 - 44
17-08-2023 00:00,Modify,Postpaid,Siebel_01,Kwazulu Natal,RED 6GB 800min,"Mistake, I meant to type very easy",8,Passive,1,"Yes, straight away",Voice,Modify / Orders,44 - 54
18-08-2023 00:00,Bank Details: Updated,TopUp,Siebel_01,Southern Gauteng,Data - Top Up,She was very helpful and it was quick,8,Passive,10,"Yes, straight away",Voice,Bank Details: Updated / Account,25 - 34
01-08-2023 00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,,"RED 3,6GB 200min TopUp",I called  and  received  help from the  agent,10,Promoter,10,"Yes, straight away",Voice,Promise to Pay / Billing Enquiry,25 - 34
01-08-2023 00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Mpumalanga,RED 600MB 50min - TopUp,100,10,Promoter,10,"Yes, straight away",Voice,Promise to Pay / Billing Enquiry,18 - 24
02-08-2023 00:00,Modify,TopUp,Siebel_01,Southern Gauteng,RED Flexi 140,Because I trust Vodacom,10,Promoter,10,"Yes, straight away",E-Service,Modify / Orders,65+
11-08-2023 00:00,Modify,TopUp,Siebel_01,Northern Gauteng,"RED 1,2GB 200min TopUp",Die persoon met wie ek gwpraat het was baie vriendelik en kon my dadelik help. Het nie nodig gehad om vodacom vir n 2 de keer te kontak nie.,7,Passive,8,"Yes, straight away",Voice,Modify / Orders,65+
