Survey Date,trigger_transaction_description,payment_type,trigger_system_name,client_region,price_plan_name,tnps_generic_verbatim_answer,F_NPS_Score,F_EFF_Score,F_FTF_Question,Voice / EServices,Call Type,Cust Age Bucket,sentiment
2023-03-29 00:00:00,Modify,TopUp,Siebel_01,Limpopo,uChoose Flexi 125,"Because the lady was good ,polite and very much helpful",10,10,"Yes, straight away",Voice,Modify / Orders,55 - 64,0.48
2023-03-27 00:00:00,Modify,TopUp,Siebel_01,Northern Gauteng,Data - Top Up,The voice assistant was not helpful,9,8,Too early to tell,Voice,Modify / Orders,35 - 44,0
2023-04-08 00:00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Kwazulu Natal,RED 500MB 50min TopUp,"The lady was calm and attentive, the best service I've recieved so far, but Vodacom has to work on their IDV system",10,8,"Yes, straight away",Voice,Promise to Pay / Billing Enquiry,25 - 34,0.45
2023-07-28 00:00:00,Bonus Bundle,TopUp,TobiAssist_CC_C3D,Southern Gauteng,"RED 2,4GB 200min TopUp","I'm happy about the consultant I understood her and she was patient and she's a genius as far as her job is concerned, I wish to talk to her every time I call may God bless her",10,10,"Yes, straight away",Voice,Bonus Bundle / Product,44 - 54,0.45
2023-07-27 00:00:00,Airtime Advance,TopUp,TobiAssist_CC_C3D,Northern Gauteng,Red Flexi Zero,,8,9,Too early to tell,Voice,Airtime Advance / Product,44 - 54,NaN
2023-07-27 00:00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Kwazulu Natal,"RED 1,2GB 100min TopUp",Because  i got the help that i was needed,10,10,"Yes, straight away",Voice,Promise to Pay / Billing Enquiry,35 - 44,0
2023-07-20 00:00:00,Balance: Enquiry,TopUp,Siebel_01,Northern Gauteng,RED Flexi 260,The guy with the name Smanga 12701 from cancelation department was not so friendly and even now I don't know if he  helped me,0,0,Too early to tell,Voice,Balance: Enquiry / Account,44 - 54,0.375
2023-07-21 00:00:00,Airtime Advance,TopUp,TobiAssist_CC_C3D,Mpumalanga,RED Flexi 260,just that how i feel,10,8,Too early to tell,Voice,Airtime Advance / Product,44 - 54,0
2023-07-21 00:00:00,Bank Details: Updated,Prepaid,Siebel_01,Limpopo,Prepaid150c,Proper service,10,10,"Yes, straight away",Voice,Bank Details: Updated / Account,,0
2023-07-20 00:00:00,Modify,Postpaid,Siebel_01,Mpumalanga,RED VIP 20GB Unlimited,,7,8,"Yes, straight away",Voice,Modify / Orders,55 - 64,NaN
2023-07-21 00:00:00,Modify VAS,Postpaid,TobiAssist_CC_C3D,Limpopo,"RED 3,6GB 200min",As a life long client and a pensioner it is absurd to make me pay for vodamail.  Very disappointed.,0,5,"Yes, straight away",Voice,Modify VAS / Billing Enquiry,65+,-0.508333333
2023-07-20 00:00:00,Modify,Postpaid,Siebel_01,Mpumalanga,RED VIP 20GB Unlimited,Excellent service provided,10,10,"Yes, straight away",Voice,Modify / Orders,55 - 64,1
2023-07-20 00:00:00,Credit Note,TopUp,TobiAssist_CC_C3D,,RED 600MB 50min - TopUp,"The Lady was so nice she helped me with all of my queries.

I would very likely recommend vodacom to others.",10,10,"Yes, straight away",Voice,Credit Note / Billing Enquiry,18 - 24,0.3
2023-07-19 00:00:00,Contact Address Details: Updated,TopUp,Siebel_01,Southern Gauteng,"RED 3,6GB 200min TopUp",,10,7,"Yes, straight away",Voice,Contact Address Details: Updated / Account,35 - 44,NaN
2023-07-03 00:00:00,Modify,Postpaid,Siebel_01,,"RED 1,2GB 200min",Good service,10,8,"Yes, but I had to contact Vodacom more than once",Voice,Modify / Orders,35 - 44,0.7
2023-07-04 00:00:00,Modify,TopUp,Siebel_01,Western,RED 600MB 50min - TopUp,Advisor was good. Time will tell whether the issues have been resolved.,10,10,Too early to tell,Voice,Modify / Orders,25 - 34,0.7
2023-07-03 00:00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Limpopo,RED 600MB 50min - TopUp,The person I spoke to was very kind and resolved my request. Her name is Marche.,10,10,"Yes, straight away",Voice,Promise to Pay / Billing Enquiry,55 - 64,0.78
2023-07-04 00:00:00,Modify,TopUp,Siebel_01,Kwazulu Natal,"RED 2,4GB 200min TopUp",The 1call I made the line went dead and the lady did not call me back. The 2nd call the guy helped me out and problem was resolved.  Thanx.,9,9,"Yes, straight away",Voice,Modify / Orders,44 - 54,-0.066666667
2023-03-11 00:00:00,Modify,TopUp,Siebel_01,Western,Smart Top Up Data 1GB,,10,,,Voice,Modify / Orders,25 - 34,NaN
2023-03-13 00:00:00,Modify,TopUp,Siebel_01,Northern Gauteng,Data - Top Up,,10,10,"Yes, straight away",Voice,Modify / Orders,35 - 44,NaN
2023-03-17 00:00:00,Modify VAS,Prepaid,TobiAssist_CC_C3D,Kwazulu Natal,Siyakha,Cos to me Vodacom is the best,10,10,"Yes, straight away",Voice,Modify VAS / Billing Enquiry,,1
2023-03-17 00:00:00,Unlock Account in Arrears,Postpaid,TobiAssist_CC_C3D,Northern Gauteng,RED 500MB 50min,"Resolving the issue was fast, convenient and quite clear on the requirements",10,9,"Yes, straight away",Voice,Unlock Account in Arrears / Billing Enquiry,35 - 44,0.15
2023-03-14 00:00:00,Modify VAS,TopUp,TobiAssist_CC_C3D,Kwazulu Natal,RED 500MB 50min TopUp,,8,,,Voice,Modify VAS / Billing Enquiry,35 - 44,NaN
2023-06-24 00:00:00,Modify VAS,TopUp,TobiAssist_CC_C3D,Southern Gauteng,"RED 1,2GB 100min TopUp",Must wait for 1-4 hours to get solved,10,10,Too early to tell,Voice,Modify VAS / Billing Enquiry,65+,0
2023-06-19 00:00:00,Modify,TopUp,Siebel_01,Southern Gauteng,uChoose Flexi 175,,10,10,"Yes, straight away",Voice,Modify / Orders,44 - 54,NaN
2023-06-23 00:00:00,Modify,TopUp,Siebel_01,Eastern,RED Flexi 140,Very well trained and friendly service staff.,10,10,"Yes, straight away",Voice,Modify / Orders,44 - 54,0.2875
2023-06-19 00:00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Western,uChoose Flexi 230,"The consultant made me feel worthy. Miche handled me with empathy, I didn't feel embarrassed for the financial difficulty I find myself in. Bless you Miche",10,10,"Yes, straight away",Voice,Promise to Pay / Billing Enquiry,55 - 64,0.166666667
2023-06-19 00:00:00,Modify,TopUp,Siebel_01,Western,"RED 2,4GB 200min TopUp",,10,,,Voice,Modify / Orders,44 - 54,NaN
2023-06-19 00:00:00,Blacklisting: Blacklisted,Postpaid,Siebel_01,Southern Gauteng,RED 12GB 200min,"Miche was a rock star. The 1st 2 calls l was told to go to a Vodashop only for me to get there and find no help. Michelle was able to trace my phone and went ahead to black list the phone. Basically, I wasted money going to a Vodashop but in the end Miche",9,8,"Yes, but I had to contact Vodacom more than once",Voice,Blacklisting: Blacklisted / Device,44 - 54,0.033333333
2023-07-11 00:00:00,Blacklisting: Blacklisted,TopUp,Siebel_01,Southern Gauteng,Data - Top Up,,7,,,Voice,Blacklisting: Blacklisted / Device,65+,NaN
2023-05-08 00:00:00,Detailed Data Usage,TopUp,TobiAssist_CC_C3D,Western,RED 6GB 200min TopUp,The agent's service was superb,9,9,"Yes, straight away",Voice,Detailed Data Usage / Billing Enquiry,25 - 34,1
2023-05-08 00:00:00,Bonus Bundle,Postpaid,TobiAssist_CC_C3D,Kwazulu Natal,RED VIP 40GB Unlimited,"The lady who assisted me was very friendly, professional and understood my frustration. I will give a 10",10,10,Too early to tell,Voice,Bonus Bundle / Product,44 - 54,0.29375
2023-05-10 00:00:00,Airtime Advance,TopUp,TobiAssist_CC_C3D,Southern Gauteng,RED 600MB 50min - TopUp,To promote service rate,10,10,"Yes, straight away",Voice,Airtime Advance / Product,44 - 54,0
2023-05-11 00:00:00,Modify VAS,TopUp,TobiAssist_CC_C3D,Northern Gauteng,RED 600MB 50min - TopUp,I didn't know I have to pay for some services,9,8,"Yes, straight away",Voice,Modify VAS / Billing Enquiry,18 - 24,0
2023-05-10 00:00:00,Coverage: Enquiry,TopUp,Siebel_01,Kwazulu Natal,"RED 1,2GB 100min TopUp",,10,,,Voice,Coverage: Enquiry / Network,44 - 54,NaN
2023-05-27 00:00:00,Balance: Enquiry,TopUp,Siebel_01,Western,uChoose Flexi 125,Mich� was so professional she deserve 11 out of 10..lol.Thank you so much for your valued assistance.,10,10,"Yes, straight away",Voice,Balance: Enquiry / Account,65+,0.15
2023-05-26 00:00:00,Unlock Account in Arrears,TopUp,TobiAssist_CC_C3D,Southern Gauteng,"RED 2,4GB 400min TopUp",,10,,,Voice,Unlock Account in Arrears / Billing Enquiry,35 - 44,NaN
2023-05-23 00:00:00,Modify,TopUp,Siebel_01,Southern Gauteng,SMART TOP UP XS+,Excellent service,10,10,"Yes, straight away",Voice,Modify / Orders,35 - 44,1
2023-05-27 00:00:00,Modify,Postpaid,Siebel_01,Southern Gauteng,RED VIP 20GB Unlimited,Excellent service from Miche,10,10,Too early to tell,Voice,Modify / Orders,65+,1
2023-06-12 00:00:00,Bonus Bundle,TopUp,TobiAssist_CC_C3D,Southern Gauteng,uChoose Flexi 230,Very good service received. Everything was well explained and my issue was resolved. Thank you,10,10,"Yes, straight away",Voice,Bonus Bundle / Product,25 - 34,0.91
2023-06-15 00:00:00,#!TransNameJourney!#,TopUp,TobiAssist_CC_C3D,Western,uChoose Flexi 175,Yes ,10,10,"Yes, straight away",Voice,#!TransNameJourney!# / #!transTypeJourney!#,35 - 44,0
2023-04-21 00:00:00,Modify,TopUp,Siebel_01,Western,RED 1GB 100min TopUp,Great service overall,10,10,"Yes, straight away",Voice,Modify / Orders,35 - 44,0.4
2023-04-21 00:00:00,Viewed proposed invoice,TopUp,"Morpheus II, Contact Centre",Southern Gauteng,Red Flexi Zero,0,0,3,No,Voice,Viewed proposed invoice / Billing Enquiry,,0
2023-07-31 00:00:00,Migration,TopUp,Siebel_01,Northern Gauteng,"RED 2,4GB 100min Top Up",1,0,0,No,Voice,Migration / Orders,35 - 44,0
2023-08-02 00:00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Southern Gauteng,RED 600MB 50min - TopUp,,10,,,Voice,Promise to Pay / Billing Enquiry,44 - 54,NaN
2023-04-11 00:00:00,Modify,TopUp,Siebel_01,Kwazulu Natal,Data - Top Up,"The online consultant was extremely helpful, patient, and efficient.",10,10,"Yes, straight away",Voice,Modify / Orders,18 - 24,-0.125
2023-05-15 00:00:00,Modify,TopUp,Siebel_01,Southern Gauteng,uChoose Flexi 175,,10,,,Voice,Modify / Orders,44 - 54,NaN
2023-05-05 00:00:00,Balance: Enquiry,Postpaid,Siebel_01,Northern Gauteng,RED VIP 40GB Unlimited,,7,,,Voice,Balance: Enquiry / Account,35 - 44,NaN
2023-08-21 00:00:00,Modify,TopUp,Siebel_01,Kwazulu Natal,RED 600MB 50min - TopUp,It's sometimes hard to speak to a consultant,10,7,"Yes, straight away",Voice,Modify / Orders,55 - 64,-0.291666667
2023-03-24 00:00:00,Modify,Postpaid,Siebel_01,Western,RED 2GB 400min,"Julle vat te lank om my op lug , hoekom moes ek 5 uur van lug af gewees het ??",5,7,"Yes, but I had to contact Vodacom more than once",Voice,Modify / Orders,65+,0
2023-03-25 00:00:00,Modify,Postpaid,Siebel_01,Southern Gauteng,Smart S,Service is best,10,10,"Yes, straight away",Voice,Modify / Orders,65+,1
2023-05-22 00:00:00,Modify VAS,TopUp,TobiAssist_CC_C3D,Southern Gauteng,"RED 1,2GB 100min TopUp",,7,,,Voice,Modify VAS / Billing Enquiry,25 - 34,NaN
2023-05-26 00:00:00,Airtime Advance,TopUp,TobiAssist_CC_C3D,Mpumalanga,uChoose Flexi 125,Okay ,10,0,"Yes, straight away",Voice,Airtime Advance / Product,44 - 54,0.5
2023-05-22 00:00:00,Modify,TopUp,Siebel_01,Southern Gauteng,SMART TOP UP XS+,"Service was amazing, the lady I spoke to never gave up",10,10,"Yes, straight away",Voice,Modify / Orders,65+,0.6
2023-05-22 00:00:00,Modify,TopUp,Siebel_01,Western,uChoose Flexi 390,Good service,10,10,"Yes, straight away",Voice,Modify / Orders,35 - 44,0.7
2023-08-01 00:00:00,Modify,TopUp,Siebel_01,Western,RED Flexi 140,"The Vodacom assistant was helpful, explained the matter well and solved it straight away.",9,10,"Yes, straight away",Voice,Modify / Orders,44 - 54,0.2
2023-08-01 00:00:00,Migration,TopUp,Siebel_01,Mpumalanga,"RED 1,2GB 100min TopUp",10/10,10,10,"Yes, straight away",Voice,Migration / Orders,25 - 34,0
2023-07-31 00:00:00,Migration,TopUp,Siebel_01,Southern Gauteng,RED 600MB 50min - TopUp,,10,10,"Yes, straight away",Voice,Migration / Orders,35 - 44,NaN
2023-07-31 00:00:00,Migration,TopUp,Siebel_01,Northern Gauteng,"RED 3,6GB 200min TopUp",,8,,,Voice,Migration / Orders,,NaN
2023-07-31 00:00:00,Migration,TopUp,Siebel_01,Southern Gauteng,RED 600MB 50min - TopUp,,10,10,Too early to tell,Voice,Migration / Orders,35 - 44,NaN
2023-04-25 00:00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Kwazulu Natal,RED 500MB 50min TopUp,My request resolved quickly with respect,10,10,"Yes, straight away",Voice,Promise to Pay / Billing Enquiry,44 - 54,0.333333333
2023-03-09 00:00:00,Airtime Advance,TopUp,TobiAssist_CC_C3D,Southern Gauteng,Top Up Data,,8,5,"Yes, straight away",Voice,Airtime Advance / Product,44 - 54,NaN
2023-03-08 00:00:00,Modify,TopUp,Siebel_01,Limpopo,uChoose Flexi 175,I was helped according to the ratings,9,8,"Yes, but I had to contact Vodacom more than once",Voice,Modify / Orders,25 - 34,0
2023-03-06 00:00:00,Modify,Prepaid,Siebel_01,Western,Prepaid 79c,Always good service at Vodacom. Somerset Mall,10,10,"Yes, straight away",Voice,Modify / Orders,,0.7
2023-04-21 00:00:00,Bonus Bundle,TopUp,TobiAssist_CC_C3D,Limpopo,uChoose Flexi 125,The agent gave me an excellent service,10,10,"Yes, straight away",Voice,Bonus Bundle / Product,25 - 34,1
2023-04-21 00:00:00,Missing Airtime,TopUp,TobiAssist_CC_C3D,Eastern,uChoose Flexi 65,Lady who helped me is so kind and sweet,10,10,"Yes, but I had to contact Vodacom more than once",Voice,Missing Airtime / Billing Enquiry,55 - 64,0.475
2023-04-01 00:00:00,Bonus Bundle,TopUp,TobiAssist_CC_C3D,Kwazulu Natal,uChoose Flexi 175,She helped me with all my request that i need help to,10,10,"Yes, straight away",Voice,Bonus Bundle / Product,44 - 54,0
2023-07-29 00:00:00,Modify,TopUp,Siebel_01,Southern Gauteng,RED Flexi 200,Very effective consultant,9,9,Too early to tell,Voice,Modify / Orders,65+,0.78
2023-07-25 00:00:00,Modify,Postpaid,Siebel_01,Eastern,"RED 1,2GB 200min",The assistant spoke clearly and had excellent knowledge about my question,9,8,"Yes, straight away",Voice,Modify / Orders,65+,0.55
2023-07-28 00:00:00,Modify VAS,TopUp,TobiAssist_CC_C3D,Kwazulu Natal,RED 600MB 50min - TopUp,Because you are giving a best service to customers,10,10,"Yes, straight away",Voice,Modify VAS / Billing Enquiry,25 - 34,1
2023-07-26 00:00:00,Modify,Postpaid,Siebel_01,Mpumalanga,"RED 3,6GB 600min",I was treated well,10,10,"Yes, straight away",Voice,Modify / Orders,55 - 64,0
2023-07-10 00:00:00,Bonus Bundle,Postpaid,TobiAssist_CC_C3D,Kwazulu Natal,RED VIP 20GB Unlimited,,10,10,"Yes, straight away",Voice,Bonus Bundle / Product,65+,NaN
2023-06-30 00:00:00,Invoice and Statement,TopUp,TobiAssist_CC_C3D,Southern Gauteng,RED Flexi 140,Your system was low,10,5,Too early to tell,Voice,Invoice and Statement / Billing Enquiry,25 - 34,0
2023-06-30 00:00:00,Migration,TopUp,Siebel_01,Northern Gauteng,"RED 1,2GB 100min TopUp",,10,,,Voice,Migration / Orders,35 - 44,NaN
2023-08-17 00:00:00,Modify VAS,TopUp,TobiAssist_CC_C3D,Central,Data - Top Up,Great assistance,10,10,"Yes, straight away",Voice,Modify VAS / Billing Enquiry,18 - 24,0.8
2023-03-20 00:00:00,Airtime Advance,TopUp,TobiAssist_CC_C3D,Northern Gauteng,uChoose Flexi 230,Vodacom sucks,0,5,"Yes, straight away",Voice,Airtime Advance / Product,35 - 44,-0.3
2023-03-22 00:00:00,Bonus Bundle,TopUp,TobiAssist_CC_C3D,Limpopo,RED 1GB 100min TopUp,,10,,,Voice,Bonus Bundle / Product,35 - 44,NaN
2023-03-17 00:00:00,Modify,TopUp,Siebel_01,Eastern,uChoose Flexi 175,Very friendly and helpful,10,10,"Yes, straight away",Voice,Modify / Orders,55 - 64,0.4875
2023-03-17 00:00:00,Modify,Postpaid,Siebel_01,Southern Gauteng,RED VIP 15GB Unlimited,Service provider was great.,9,10,"Yes, straight away",Voice,Modify / Orders,44 - 54,0.8
2023-07-03 00:00:00,Bonus Bundle,TopUp,TobiAssist_CC_C3D,Kwazulu Natal,RED Flexi 260,Good,10,10,"Yes, straight away",Voice,Bonus Bundle / Product,35 - 44,0.7
2023-07-08 00:00:00,Wasp Service - Opt Out,TopUp,TobiAssist_CC_C3D,Mpumalanga,RED Flexi 130 Monthly,,10,,,Voice,Wasp Service - Opt Out / Billing Enquiry,35 - 44,NaN
2023-06-22 00:00:00,SIM Swap,TopUp,Siebel_01,Southern Gauteng,"RED 1,2GB 100min TopUp",The call center agent was very helpful,10,10,"Yes, straight away",Voice,SIM Swap / Orders,35 - 44,0.05
2023-05-31 00:00:00,Modify VAS,Postpaid,TobiAssist_CC_C3D,Kwazulu Natal,RED 600MB 50min,,0,1,Too early to tell,Voice,Modify VAS / Billing Enquiry,25 - 34,NaN
2023-04-12 00:00:00,Modify,TopUp,Siebel_01,Central,uChoose Flexi 175,,10,,,Voice,Modify / Orders,44 - 54,NaN
2023-03-02 00:00:00,#!TransNameJourney!#,TopUp,TobiAssist_CC_C3D,Southern Gauteng,uChoose Flexi 65,,7,,"Yes, straight away",Voice,#!TransNameJourney!# / #!transTypeJourney!#,25 - 34,NaN
2023-06-13 00:00:00,Modify,TopUp,Siebel_01,Northern Gauteng,Top Up Data,Was helped very patiently and all ways of helping me were explored. Was finally able to access my data before seeking assistance from the vidacom outlet.,10,10,"Yes, straight away",Voice,Modify / Orders,44 - 54,0.35
2023-04-21 00:00:00,Modify,TopUp,Siebel_01,Southern Gauteng,uChoose Flexi 125,10,10,1,"Yes, straight away",E-Service,Modify / Orders,18 - 24,0
2023-05-04 00:00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Southern Gauteng,Top Up Data,Vodacom should have tried again after the initial debit didn't go through. They should've tried again on the 1st day of the new month.,8,8,Too early to tell,Voice,Promise to Pay / Billing Enquiry,35 - 44,0.068181818
2023-08-02 00:00:00,Credit Note,TopUp,TobiAssist_CC_C3D,Kwazulu Natal,RED Flexi 260,You guys are genius,10,10,"Yes, straight away",Voice,Credit Note / Billing Enquiry,25 - 34,0
2023-08-01 00:00:00,Credit Note,TopUp,TobiAssist_CC_C3D,Limpopo,RED 600MB 50min - TopUp,Am satisfied with your services,10,10,"Yes, straight away",Voice,Credit Note / Billing Enquiry,25 - 34,0.5
2023-07-31 00:00:00,Migration,TopUp,Siebel_01,Southern Gauteng,"RED 1,2GB 100min TopUp",,9,6,Too early to tell,Voice,Migration / Orders,18 - 24,NaN
2023-08-15 00:00:00,Airtime Advance,TopUp,TobiAssist_CC_C3D,Mpumalanga,RED Flexi 260,All right ,10,10,"Yes, straight away",Voice,Airtime Advance / Product,25 - 34,0.285714286
2023-08-18 00:00:00,MSISDN Swap,TopUp,Siebel_01,Kwazulu Natal,RED Flexi 200,,10,,"Yes, straight away",Voice,MSISDN Swap / Orders,65+,NaN
2023-08-18 00:00:00,Modify,TopUp,Siebel_01,Mpumalanga,RED Flexi 75,Satisfaction,9,8,"Yes, straight away",Voice,Modify / Orders,35 - 44,0
2023-08-15 00:00:00,Modify,TopUp,Siebel_01,Northern Gauteng,RED 600MB 50min - TopUp,All right,5,10,"Yes, straight away",Voice,Modify / Orders,55 - 64,0.285714286
2023-04-25 00:00:00,SIM Swap Starter Pack,Prepaid,TobiAssist_CC_MII,Southern Gauteng,Power Pack Plan,,8,10,"Yes, straight away",Voice,SIM Swap Starter Pack / SIM Swap,,NaN
2023-06-05 00:00:00,Modify,TopUp,Siebel_01,Mpumalanga,RED 600MB 50min - TopUp,I'm still working on getting to Internet but I can't to get in,10,9,"Yes, straight away",Voice,Modify / Orders,25 - 34,0
2023-06-05 00:00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Northern Gauteng,uChoose Flexi 125,All right ,10,10,"Yes, straight away",Voice,Promise to Pay / Billing Enquiry,44 - 54,0.285714286
2023-06-08 00:00:00,Modify,TopUp,Siebel_01,Northern Gauteng,Data - Top Up,I had the best service,10,10,"Yes, straight away",Voice,Modify / Orders,25 - 34,1
2023-06-05 00:00:00,Itemised Billing: Provided,Postpaid,Siebel_01,Kwazulu Natal,"RED 2,4GB 400min",,7,7,No,Voice,Itemised Billing: Provided / Account,65+,NaN
2023-06-29 00:00:00,Modify,TopUp,Siebel_01,Western,"RED 1,2GB 100min TopUp",The consultant who assisted me is excellent!,9,10,"Yes, straight away",Voice,Modify / Orders,18 - 24,1
2023-06-30 00:00:00,Migration,TopUp,Siebel_01,Kwazulu Natal,RED Flexi 440,,10,,,Voice,Migration / Orders,25 - 34,NaN
2023-06-30 00:00:00,Migration,TopUp,Siebel_01,Kwazulu Natal,"RED 3,6GB 100min Top Up","Friendly customer service, she listened to my request and was very patient",10,10,"Yes, straight away",Voice,Migration / Orders,25 - 34,0.2875
2023-06-26 00:00:00,Modify,TopUp,Siebel_01,,"RED 2,4GB 400min TopUp",,10,,,Voice,Modify / Orders,35 - 44,NaN
2023-06-30 00:00:00,Modify,TopUp,Siebel_01,Eastern,RED 600MB 50min - TopUp,Very nice and willing to help me with the problem I had with my vodacom phone,10,10,"Yes, straight away",Voice,Modify / Orders,25 - 34,0.515
2023-03-16 00:00:00,Promise to Pay,TopUp,TobiAssist_CC_C3D,Limpopo,RED 1GB 400min TopUp,,10,10,"Yes, straight away",Voice,Promise to Pay / Billing Enquiry,35 - 44,NaN
2023-07-10 00:00:00,Modify,TopUp,Siebel_01,Limpopo,RED Flexi 260,Okay,10,10,"Yes, straight away",Voice,Modify / Orders,44 - 54,0.5
2023-07-13 00:00:00,Missing Airtime,TopUp,TobiAssist_CC_C3D,Western,Data - Top Up,,8,,,Voice,Missing Airtime / Billing Enquiry,35 - 44,NaN
2023-07-10 00:00:00,Modify,TopUp,Siebel_01,Southern Gauteng,"RED 2,4GB 400min TopUp",,9,,"Yes, straight away",Voice,Modify / Orders,35 - 44,NaN
2023-04-11 00:00:00,Modify,Postpaid,Siebel_01,Western,RED 500MB 50min,,1,,,Voice,Modify / Orders,25 - 34,NaN
2023-08-22 00:00:00,Modify,Prepaid,Siebel_01,Central,Prepaid150c,Because vodacom care for their customers,10,10,"Yes, straight away",Voice,Modify / Orders,,0
2023-05-30 00:00:00,Bonus Bundle,TopUp,TobiAssist_CC_C3D,Kwazulu Natal,uChoose Flexi 125,"She is intelligent,  work knowledgeable and experience played an integral part lastly accountability",10,10,"Yes, straight away",Voice,Bonus Bundle / Product,55 - 64,0.4
2023-05-31 00:00:00,Migration,TopUp,Siebel_01,Eastern,"RED 2,4GB 100min Top Up",,10,,,Voice,Migration / Orders,44 - 54,NaN
2023-05-30 00:00:00,Bonus Bundle,TopUp,TobiAssist_CC_C3D,Northern Gauteng,uChoose Flexi 230,the person who assisted me goes beyond my expectations,8,10,"Yes, straight away",Voice,Bonus Bundle / Product,44 - 54,0
2023-05-30 00:00:00,Bonus Bundle,TopUp,TobiAssist_CC_C3D,Western,"Smart Top Up Data 2,4GB",Should be able to cancel a discounted monthly data bundle on the app or online.,9,7,"Yes, straight away",Voice,Bonus Bundle / Product,25 - 34,0.5
2023-05-30 00:00:00,Modify,TopUp,Siebel_01,Kwazulu Natal,uChoose Flexi 175,I was calling customercare to talk to them directly but was referred to tobi who couldn't assist me in resolving my problem.  Why aren't our calls directed to a customer care human that we can talk to please?,9,9,"Yes, straight away",Voice,Modify / Orders,55 - 64,0.05
2023-05-12 00:00:00,SIM Swap Starter Pack,Prepaid,TobiAssist_CC_MII,Northern Gauteng,Vodacom 4Less Within Cell Broadcast:V4L,,10,10,"Yes, straight away",Voice,SIM Swap Starter Pack / SIM Swap,,NaN
2023-04-04 00:00:00,Modify,TopUp,Siebel_01,Southern Gauteng,RED 1GB 100min TopUp,,10,,,Voice,Modify / Orders,18 - 24,NaN
2023-07-22 00:00:00,Modify,TopUp,Siebel_01,Southern Gauteng,RED 600MB 50min - TopUp,I got to save a lot by cutting unnecessary expenses and the agent was patient and explained everything well and in detail,10,10,"Yes, straight away",Voice,Modify / Orders,35 - 44,-0.5
2023-04-21 00:00:00,SIM Swap,TopUp,Siebel_01,Mpumalanga,Data - Top Up,,10,8,"Yes, but I had to contact Vodacom more than once",Voice,SIM Swap / Orders,35 - 44,NaN
